name	value
Dwight Howard	2012-2013 3rd Team
David Lee	2012-2013 3rd Team
Paul George	2012-2013 3rd Team
Dwyane Wade	2012-2013 3rd Team
James Harden	2012-2013 3rd Team
Chris Paul	2013-2014 1st Team
James Harden	2013-2014 1st Team
Kevin Durant	2013-2014 1st Team
Joakim Noah	2013-2014 1st Team
LeBron James	2013-2014 1st Team
Tony Parker	2013-2014 2nd Team
Stephen Curry	2013-2014 2nd Team
Dwight Howard	2013-2014 2nd Team
Kevin Love	2013-2014 2nd Team
Blake Griffin	2013-2014 2nd Team
Paul George	2013-2014 3rd Team
LaMarcus Aldridge	2013-2014 3rd Team
Goran Dragic	2013-2014 3rd Team
Damian Lillard	2013-2014 3rd Team
Al Jefferson	2013-2014 3rd Team
