name	value
Dennis Johnson	1980-1981 West Reserve
Paul Westphal	1980-1981 West Starter
George Gervin	1980-1981 West Starter
Walter Davis	1980-1981 West Starter
Kareem Abdul-Jabbar	1980-1981 West Starter
Adrian Dantley	1980-1981 West Starter
Sidney Moncrief	1981-1982 East Reserve
Micheal Ray Richardson	1981-1982 East Reserve
Kelly Tripucka	1981-1982 East Reserve
Robert Parish	1981-1982 East Reserve
Buck Williams	1981-1982 East Reserve
Bobby Jones	1981-1982 East Reserve
Bob Lanier	1981-1982 East Reserve
Dan Roundfield	1981-1982 East Reserve
Isiah Thomas	1981-1982 East Starter
Artis Gilmore	1981-1982 East Starter
Larry Bird	1981-1982 East Starter
Julius Erving	1981-1982 East Starter
Nate Archibald	1981-1982 East Starter
Bernard King	1981-1982 West Reserve
Jack Sikma	1981-1982 West Reserve
Magic Johnson	1981-1982 West Reserve
Dennis Johnson	1981-1982 West Reserve
Norm Nixon	1981-1982 West Reserve
Alex English	1981-1982 West Reserve
Moses Malone	1981-1982 West Reserve
Gus Williams	1981-1982 West Starter
Lonnie Shelton	1981-1982 West Starter
Adrian Dantley	1981-1982 West Starter
Kareem Abdul-Jabbar	1981-1982 West Starter
George Gervin	1981-1982 West Starter
Jamaal Wilkes	1982-1983 East Reserve
Jack Sikma	1982-1983 East Reserve
Kiki Vandeweghe	1982-1983 East Reserve
Jim Paxson	1982-1983 East Reserve
Artis Gilmore	1982-1983 East Reserve
Gus Williams	1982-1983 East Reserve
George Gervin	1982-1983 East Reserve
Magic Johnson	1982-1983 East Starter
Maurice Lucas	1982-1983 East Starter
David Thompson	1982-1983 East Starter
Kareem Abdul-Jabbar	1982-1983 East Starter
Alex English	1982-1983 East Starter
Buck Williams	1982-1983 West Reserve
Marques Johnson	1982-1983 West Reserve
Bill Laimbeer	1982-1983 West Reserve
Andrew Toney	1982-1983 West Reserve
Sidney Moncrief	1982-1983 West Reserve
Reggie Theus	1982-1983 West Reserve
Robert Parish	1982-1983 West Reserve
Julius Erving	1982-1983 West Starter
Larry Bird	1982-1983 West Starter
Isiah Thomas	1982-1983 West Starter
Maurice Cheeks	1982-1983 West Starter
Moses Malone	1982-1983 West Starter
Andrew Toney	1983-1984 East Reserve
Robert Parish	1983-1984 East Reserve
Kevin McHale	1983-1984 East Reserve
Jeff Ruland	1983-1984 East Reserve
Bill Laimbeer	1983-1984 East Reserve
Kelly Tripucka	1983-1984 East Reserve
Bernard King	1983-1984 East Reserve
Otis Birdsong	1983-1984 East Reserve
Moses Malone	1983-1984 East Starter
Julius Erving	1983-1984 East Starter
Larry Bird	1983-1984 East Starter
Sidney Moncrief	1983-1984 East Starter
Isiah Thomas	1983-1984 East Starter
Kiki Vandeweghe	1983-1984 West Reserve
Ralph Sampson	1983-1984 West Reserve
Jim Paxson	1983-1984 West Reserve
Jack Sikma	1983-1984 West Reserve
Rickey Green	1983-1984 West Reserve
Mark Aguirre	1983-1984 West Reserve
Walter Davis	1983-1984 West Reserve
George Gervin	1983-1984 West Starter
Adrian Dantley	1983-1984 West Starter
Magic Johnson	1983-1984 West Starter
Alex English	1983-1984 West Starter
Kareem Abdul-Jabbar	1983-1984 West Starter
Micheal Ray Richardson	1984-1985 East Reserve
Bill Laimbeer	1984-1985 East Reserve
Sidney Moncrief	1984-1985 East Reserve
Dennis Johnson	1984-1985 East Reserve
Bernard King	1984-1985 East Reserve
Terry Cummings	1984-1985 East Reserve
Robert Parish	1984-1985 East Reserve
Moses Malone	1984-1985 East Starter
Larry Bird	1984-1985 East Starter
Michael Jordan	1984-1985 East Starter
Julius Erving	1984-1985 East Starter
Isiah Thomas	1984-1985 East Starter
Norm Nixon	1984-1985 West Reserve
Jack Sikma	1984-1985 West Reserve
Calvin Natt	1984-1985 West Reserve
Alex English	1984-1985 West Reserve
Hakeem Olajuwon	1984-1985 West Reserve
Rolando Blackman	1984-1985 West Reserve
Larry Nance	1984-1985 West Reserve
Ralph Sampson	1984-1985 West Starter
Adrian Dantley	1984-1985 West Starter
George Gervin	1984-1985 West Starter
Kareem Abdul-Jabbar	1984-1985 West Starter
Magic Johnson	1984-1985 West Starter
Buck Williams	1985-1986 East Reserve
Kevin McHale	1985-1986 East Reserve
Sidney Moncrief	1985-1986 East Reserve
Robert Parish	1985-1986 East Reserve
Dominique Wilkins	1985-1986 East Reserve
Maurice Cheeks	1985-1986 East Reserve
Jeff Malone	1985-1986 East Reserve
Patrick Ewing Jr.	1985-1986 East Reserve
Julius Erving	1985-1986 East Starter
Larry Bird	1985-1986 East Starter
Michael Jordan	1985-1986 East Starter
Isiah Thomas	1985-1986 East Starter
Moses Malone	1985-1986 East Starter
Adrian Dantley	1985-1986 West Reserve
Artis Gilmore	1985-1986 West Reserve
Marques Johnson	1985-1986 West Reserve
Hakeem Olajuwon	1985-1986 West Reserve
Clyde Drexler	1985-1986 West Reserve
Rolando Blackman	1985-1986 West Reserve
Alex English	1985-1986 West Reserve
Alvin Robertson	1985-1986 West Starter
Ralph Sampson	1985-1986 West Starter
James Worthy	1985-1986 West Starter
Kareem Abdul-Jabbar	1985-1986 West Starter
Magic Johnson	1985-1986 West Starter
Maurice Cheeks	1986-1987 East Reserve
Charles Barkley	1986-1987 East Reserve
Kevin McHale	1986-1987 East Reserve
Robert Parish	1986-1987 East Reserve
Bill Laimbeer	1986-1987 East Reserve
Jeff Malone	1986-1987 East Reserve
Isiah Thomas	1986-1987 East Reserve
Larry Bird	1986-1987 East Starter
Moses Malone	1986-1987 East Starter
Julius Erving	1986-1987 East Starter
Dominique Wilkins	1986-1987 East Starter
Michael Jordan	1986-1987 East Starter
Mark Aguirre	1986-1987 West Reserve
Alex English	1986-1987 West Reserve
Kareem Abdul-Jabbar	1986-1987 West Reserve
Sleepy Floyd	1986-1987 West Reserve
Walter Davis	1986-1987 West Reserve
Joe Barry Carroll	1986-1987 West Reserve
Tom Chambers	1986-1987 West Reserve
Rolando Blackman	1986-1987 West Reserve
Alvin Robertson	1986-1987 West Starter
Hakeem Olajuwon	1986-1987 West Starter
Magic Johnson	1986-1987 West Starter
James Worthy	1986-1987 West Starter
Ralph Sampson	1986-1987 West Starter
Maurice Cheeks	1987-1988 East Reserve
Kevin McHale	1987-1988 East Reserve
Charles Barkley	1987-1988 East Reserve
Danny Ainge	1987-1988 East Reserve
Patrick Ewing Jr.	1987-1988 East Reserve
Doc Rivers	1987-1988 East Reserve
Brad Daugherty	1987-1988 East Reserve
Moses Malone	1987-1988 East Starter
Dominique Wilkins	1987-1988 East Starter
Michael Jordan	1987-1988 East Starter
Larry Bird	1987-1988 East Starter
Isiah Thomas	1987-1988 East Starter
James Donaldson	1987-1988 West Reserve
Mark Aguirre	1987-1988 West Reserve
Clyde Drexler	1987-1988 West Reserve
James Worthy	1987-1988 West Reserve
Alvin Robertson	1987-1988 West Reserve
Kareem Abdul-Jabbar	1987-1988 West Reserve
Xavier McDaniel	1987-1988 West Reserve
Alex English	1987-1988 West Starter
Karl Malone	1987-1988 West Starter
Hakeem Olajuwon	1987-1988 West Starter
Hal Lear	1987-1988 West Starter
Magic Johnson	1987-1988 West Starter
Brad Daugherty	1988-1989 East Reserve
Patrick Ewing Jr.	1988-1989 East Reserve
Mark Price	1988-1989 East Reserve
Mark Jackson	1988-1989 East Reserve
Larry Nance	1988-1989 East Reserve
Terry Cummings	1988-1989 East Reserve
Kevin McHale	1988-1989 East Reserve
Dominique Wilkins	1988-1989 East Starter
Isiah Thomas	1988-1989 East Starter
Michael Jordan	1988-1989 East Starter
Charles Barkley	1988-1989 East Starter
Moses Malone	1988-1989 East Starter
Tom Chambers	1988-1989 West Reserve
Mark Eaton	1988-1989 West Reserve
James Worthy	1988-1989 West Reserve
John Stockton	1988-1989 West Reserve
Chris Mullin	1988-1989 West Reserve
Kareem Abdul-Jabbar	1988-1989 West Reserve
Clyde Drexler	1988-1989 West Reserve
Kevin Duckworth	1988-1989 West Reserve
Magic Johnson	1988-1989 West Starter
Hakeem Olajuwon	1988-1989 West Starter
Dale Ellis	1988-1989 West Starter
Alex English	1988-1989 West Starter
Karl Malone	1988-1989 West Starter
Dominique Wilkins	1989-1990 East Reserve
Reggie Miller	1989-1990 East Reserve
Dennis Rodman	1989-1990 East Reserve
Joe Dumars	1989-1990 East Reserve
Kevin McHale	1989-1990 East Reserve
Robert Parish	1989-1990 East Reserve
Scottie Pippen	1989-1990 East Reserve
Isiah Thomas	1989-1990 East Starter
Charles Barkley	1989-1990 East Starter
Michael Jordan	1989-1990 East Starter
Larry Bird	1989-1990 East Starter
Patrick Ewing Jr.	1989-1990 East Starter
Hal Lear	1989-1990 West Reserve
Clyde Drexler	1989-1990 West Reserve
Kevin Johnson	1989-1990 West Reserve
Tom Chambers	1989-1990 West Reserve
David Robinson	1989-1990 West Reserve
Karl Malone	1989-1990 West Reserve
Chris Mullin	1989-1990 West Reserve
Rolando Blackman	1989-1990 West Reserve
Hakeem Olajuwon	1989-1990 West Starter
James Worthy	1989-1990 West Starter
Magic Johnson	1989-1990 West Starter
A.C. Green	1989-1990 West Starter
John Stockton	1989-1990 West Starter
Brad Daugherty	1990-1991 East Reserve
Robert Parish	1990-1991 East Reserve
Joe Dumars	1990-1991 East Reserve
Ricky Pierce	1990-1991 East Reserve
Hersey Hawkins	1990-1991 East Reserve
Kevin McHale	1990-1991 East Reserve
Bernard King	1990-1991 East Reserve
Dominique Wilkins	1990-1991 East Reserve
Alvin Robertson	1990-1991 East Reserve
Larry Bird	1990-1991 East Starter
Isiah Thomas	1990-1991 East Starter
Charles Barkley	1990-1991 East Starter
Michael Jordan	1990-1991 East Starter
Patrick Ewing Jr.	1990-1991 East Starter
Tim Hardaway	1990-1991 West Reserve
Clyde Drexler	1990-1991 West Reserve
John Stockton	1990-1991 West Reserve
James Worthy	1990-1991 West Reserve
Tom Chambers	1990-1991 West Reserve
Terry Porter	1990-1991 West Reserve
Kevin Duckworth	1990-1991 West Reserve
Kevin Johnson	1990-1991 West Starter
Karl Malone	1990-1991 West Starter
David Robinson	1990-1991 West Starter
Magic Johnson	1990-1991 West Starter
Chris Mullin	1990-1991 West Starter
Reggie Lewis	1991-1992 East Reserve
Michael Adams	1991-1992 East Reserve
Brad Daugherty	1991-1992 East Reserve
Dominique Wilkins	1991-1992 East Reserve
Dennis Rodman	1991-1992 East Reserve
Mark Price	1991-1992 East Reserve
Joe Dumars	1991-1992 East Reserve
Kevin Willis	1991-1992 East Reserve
Scottie Pippen	1991-1992 East Reserve
Charles Barkley	1991-1992 East Starter
Isiah Thomas	1991-1992 East Starter
Patrick Ewing Jr.	1991-1992 East Starter
Michael Jordan	1991-1992 East Starter
Larry Bird	1991-1992 East Starter
John Stockton	1991-1992 West Reserve
Otis Thorpe	1991-1992 West Reserve
James Worthy	1991-1992 West Reserve
Hakeem Olajuwon	1991-1992 West Reserve
Dikembe Mutombo	1991-1992 West Reserve
Jeff Hornacek	1991-1992 West Reserve
Tim Hardaway	1991-1992 West Reserve
Dan Majerle	1991-1992 West Reserve
Chris Mullin	1991-1992 West Starter
David Robinson	1991-1992 West Starter
Karl Malone	1991-1992 West Starter
Clyde Drexler	1991-1992 West Starter
Magic Johnson	1991-1992 West Starter
Brad Daugherty	1992-1993 East Reserve
Larry Nance	1992-1993 East Reserve
Detlef Schrempf	1992-1993 East Reserve
Joe Dumars	1992-1993 East Reserve
Patrick Ewing Jr.	1992-1993 East Reserve
Mark Price	1992-1993 East Reserve
Dominique Wilkins	1992-1993 East Reserve
Larry Johnson	1992-1993 East Starter
Isiah Thomas	1992-1993 East Starter
Scottie Pippen	1992-1993 East Starter
Michael Jordan	1992-1993 East Starter
Shaquille O'Neal	1992-1993 East Starter
Mitch Richmond	1992-1993 West Reserve
Chris Mullin	1992-1993 West Reserve
Sean Elliott	1992-1993 West Reserve
Shawn Kemp	1992-1993 West Reserve
Hakeem Olajuwon	1992-1993 West Reserve
Danny Manning	1992-1993 West Reserve
Tim Hardaway	1992-1993 West Reserve
Dan Majerle	1992-1993 West Reserve
Terry Porter	1992-1993 West Reserve
Clyde Drexler	1992-1993 West Starter
Charles Barkley	1992-1993 West Starter
John Stockton	1992-1993 West Starter
Karl Malone	1992-1993 West Starter
David Robinson	1992-1993 West Starter
Alonzo Mourning	1993-1994 East Reserve
Mark Price	1993-1994 East Reserve
Patrick Ewing Jr.	1993-1994 East Reserve
Dominique Wilkins	1993-1994 East Reserve
John Starks	1993-1994 East Reserve
Charles Oakley	1993-1994 East Reserve
Mookie Blaylock	1993-1994 East Reserve
Horace Grant	1993-1994 East Reserve
Kenny Anderson	1993-1994 East Starter
Shaquille O'Neal	1993-1994 East Starter
Derrick Coleman	1993-1994 East Starter
B.J. Armstrong	1993-1994 East Starter
Scottie Pippen	1993-1994 East Starter
Gary Payton	1993-1994 West Reserve
Karl Malone	1993-1994 West Reserve
John Stockton	1993-1994 West Reserve
David Robinson	1993-1994 West Reserve
Kevin Johnson	1993-1994 West Reserve
Clifford Robinson	1993-1994 West Reserve
Danny Manning	1993-1994 West Reserve
Latrell Sprewell	1993-1994 West Reserve
Mitch Richmond	1993-1994 West Starter
Clyde Drexler	1993-1994 West Starter
Hakeem Olajuwon	1993-1994 West Starter
Shawn Kemp	1993-1994 West Starter
Charles Barkley	1993-1994 West Starter
Tyrone Hill	1994-1995 East Reserve
Vin Baker	1994-1995 East Reserve
Alonzo Mourning	1994-1995 East Reserve
Larry Johnson	1994-1995 East Reserve
Patrick Ewing Jr.	1994-1995 East Reserve
Dana Barros	1994-1995 East Reserve
Joe Dumars	1994-1995 East Reserve
Grant Hill	1994-1995 East Starter
Scottie Pippen	1994-1995 East Starter
Shaquille O'Neal	1994-1995 East Starter
Tim Hardaway	1994-1995 East Starter
Reggie Miller	1994-1995 East Starter
Karl Malone	1994-1995 West Reserve
John Stockton	1994-1995 West Reserve
Gary Payton	1994-1995 West Reserve
Mitch Richmond	1994-1995 West Reserve
Detlef Schrempf	1994-1995 West Reserve
Dikembe Mutombo	1994-1995 West Reserve
Cedric Ceballos	1994-1995 West Reserve
David Robinson	1994-1995 West Reserve
Charles Barkley	1994-1995 West Starter
Latrell Sprewell	1994-1995 West Starter
Shawn Kemp	1994-1995 West Starter
Hakeem Olajuwon	1994-1995 West Starter
Dan Majerle	1994-1995 West Starter
Alonzo Mourning	1995-1996 East Reserve
Terrell Brandon	1995-1996 East Reserve
Juwan Howard	1995-1996 East Reserve
Glen Rice Jr.	1995-1996 East Reserve
Vin Baker	1995-1996 East Reserve
Reggie Miller	1995-1996 East Reserve
Patrick Ewing Jr.	1995-1996 East Reserve
Grant Hill	1995-1996 East Starter
Michael Jordan	1995-1996 East Starter
Tim Hardaway	1995-1996 East Starter
Shaquille O'Neal	1995-1996 East Starter
Scottie Pippen	1995-1996 East Starter
Mitch Richmond	1995-1996 West Reserve
Karl Malone	1995-1996 West Reserve
Dikembe Mutombo	1995-1996 West Reserve
Sean Elliott	1995-1996 West Reserve
Gary Payton	1995-1996 West Reserve
David Robinson	1995-1996 West Reserve
John Stockton	1995-1996 West Reserve
Jason Kidd	1995-1996 West Starter
Clyde Drexler	1995-1996 West Starter
Charles Barkley	1995-1996 West Starter
Hakeem Olajuwon	1995-1996 West Starter
Shawn Kemp	1995-1996 West Starter
Terrell Brandon	1996-1997 East Reserve
Chris Webber	1996-1997 East Reserve
Tim Hardaway	1996-1997 East Reserve
Joe Dumars	1996-1997 East Reserve
Glen Rice Jr.	1996-1997 East Reserve
Alonzo Mourning	1996-1997 East Reserve
Christian Laettner	1996-1997 East Reserve
Vin Baker	1996-1997 East Reserve
Dikembe Mutombo	1996-1997 East Reserve
Scottie Pippen	1996-1997 East Starter
Patrick Ewing Jr.	1996-1997 East Starter
Grant Hill	1996-1997 East Starter
Michael Jordan	1996-1997 East Starter
Tim Hardaway	1996-1997 East Starter
Kevin Garnett	1996-1997 West Reserve
Latrell Sprewell	1996-1997 West Reserve
Chris Gatling	1996-1997 West Reserve
Clyde Drexler	1996-1997 West Reserve
Shaquille O'Neal	1996-1997 West Reserve
Tom Gugliotta	1996-1997 West Reserve
Mitch Richmond	1996-1997 West Reserve
Eddie Jones	1996-1997 West Reserve
Detlef Schrempf	1996-1997 West Reserve
Karl Malone	1996-1997 West Reserve
John Stockton	1996-1997 West Starter
Shawn Kemp	1996-1997 West Starter
Gary Payton	1996-1997 West Starter
Hakeem Olajuwon	1996-1997 West Starter
Charles Barkley	1996-1997 West Starter
Antoine Walker	1997-1998 East Reserve
Steven Smith	1997-1998 East Reserve
Glen Rice Jr.	1997-1998 East Reserve
Reggie Miller	1997-1998 East Reserve
Rik Smits	1997-1998 East Reserve
Jayson Williams	1997-1998 East Reserve
Tim Hardaway	1997-1998 East Reserve
Shawn Kemp	1997-1998 East Starter
Grant Hill	1997-1998 East Starter
Dikembe Mutombo	1997-1998 East Starter
Michael Jordan	1997-1998 East Starter
Tim Hardaway	1997-1998 East Starter
Nick Van Exel	1997-1998 West Reserve
Tim Duncan	1997-1998 West Reserve
Jason Kidd	1997-1998 West Reserve
Mitch Richmond	1997-1998 West Reserve
David Robinson	1997-1998 West Reserve
Vin Baker	1997-1998 West Reserve
Eddie Jones	1997-1998 West Reserve
Gary Payton	1997-1998 West Starter
Kobe Bryant	1997-1998 West Starter
Karl Malone	1997-1998 West Starter
Kevin Garnett	1997-1998 West Starter
Shaquille O'Neal	1997-1998 West Starter
Jerry Stackhouse	1999-2000 East Reserve
Dale Davis	1999-2000 East Reserve
Glenn Robinson	1999-2000 East Reserve
Reggie Miller	1999-2000 East Reserve
Dikembe Mutombo	1999-2000 East Reserve
Allan Houston	1999-2000 East Reserve
Ray Allen	1999-2000 East Reserve
Vince Carter	1999-2000 East Starter
Allen Iverson	1999-2000 East Starter
Alonzo Mourning	1999-2000 East Starter
Eddie Jones	1999-2000 East Starter
Grant Hill	1999-2000 East Starter
Gary Payton	1999-2000 West Reserve
Rasheed Wallace	1999-2000 West Reserve
John Stockton	1999-2000 West Reserve
Chris Webber	1999-2000 West Reserve
Michael Finley	1999-2000 West Reserve
Karl Malone	1999-2000 West Reserve
David Robinson	1999-2000 West Reserve
Shaquille O'Neal	1999-2000 West Starter
Jason Kidd	1999-2000 West Starter
Kevin Garnett	1999-2000 West Starter
Kobe Bryant	1999-2000 West Starter
Tim Duncan	1999-2000 West Starter
Jerry Stackhouse	2000-2001 East Reserve
Stephon Marbury	2000-2001 East Reserve
Anthony Mason	2000-2001 East Reserve
Ray Allen	2000-2001 East Reserve
Latrell Sprewell	2000-2001 East Reserve
Allan Houston	2000-2001 East Reserve
Glenn Robinson	2000-2001 East Reserve
Theo Ratliff	2000-2001 East Reserve
Antonio Davis	2000-2001 East Reserve
Dikembe Mutombo	2000-2001 East Reserve
Alonzo Mourning	2000-2001 East Starter
Vince Carter	2000-2001 East Starter
Tracy McGrady	2000-2001 East Starter
Allen Iverson	2000-2001 East Starter
Grant Hill	2000-2001 East Starter
Antonio McDyess	2000-2001 West Reserve
Gary Payton	2000-2001 West Reserve
Rasheed Wallace	2000-2001 West Reserve
Vlade Divac	2000-2001 West Reserve
David Robinson	2000-2001 West Reserve
Karl Malone	2000-2001 West Reserve
Kevin Garnett	2000-2001 West Reserve
Michael Finley	2000-2001 West Reserve
Chris Webber	2000-2001 West Starter
Shaquille O'Neal	2000-2001 West Starter
Tim Duncan	2000-2001 West Starter
Kobe Bryant	2000-2001 West Starter
Jason Kidd	2000-2001 West Starter
Jason Kidd	2001-2002 East Reserve
Shareef Abdur-Rahim	2001-2002 East Reserve
Ray Allen	2001-2002 East Reserve
Alonzo Mourning	2001-2002 East Reserve
Paul Pierce	2001-2002 East Reserve
Jermaine O'Neal	2001-2002 East Reserve
Baron Davis	2001-2002 East Reserve
Tracy McGrady	2001-2002 East Reserve
Allen Iverson	2001-2002 East Starter
Antoine Walker	2001-2002 East Starter
Vince Carter	2001-2002 East Starter
Dikembe Mutombo	2001-2002 East Starter
Michael Jordan	2001-2002 East Starter
Dirk Nowitzki	2001-2002 West Reserve
Elton Brand	2001-2002 West Reserve
Chris Webber	2001-2002 West Reserve
Wally Szczerbiak	2001-2002 West Reserve
Peja Stojakovic	2001-2002 West Reserve
Gary Payton	2001-2002 West Reserve
Steve Nash	2001-2002 West Reserve
Karl Malone	2001-2002 West Reserve
Tim Duncan	2001-2002 West Starter
Steve Francis	2001-2002 West Starter
Kobe Bryant	2001-2002 West Starter
Kevin Garnett	2001-2002 West Starter
Shaquille O'Neal	2001-2002 West Starter
Paul Pierce	2002-2003 East Reserve
Jason Kidd	2002-2003 East Reserve
Jamal Mashburn	2002-2003 East Reserve
Antoine Walker	2002-2003 East Reserve
Brad Miller	2002-2003 East Reserve
Vince Carter	2002-2003 East Reserve
Zydrunas Ilgauskas	2002-2003 East Reserve
Michael Jordan	2002-2003 East Starter
Tracy McGrady	2002-2003 East Starter
Jermaine O'Neal	2002-2003 East Starter
Allen Iverson	2002-2003 East Starter
Ben Wallace	2002-2003 East Starter
Dirk Nowitzki	2002-2003 West Reserve
Gary Payton	2002-2003 West Reserve
Peja Stojakovic	2002-2003 West Reserve
Chris Webber	2002-2003 West Reserve
Shawn Marion	2002-2003 West Reserve
Steve Nash	2002-2003 West Reserve
Stephon Marbury	2002-2003 West Reserve
Shaquille O'Neal	2002-2003 West Reserve
Tim Duncan	2002-2003 West Starter
Kevin Garnett	2002-2003 West Starter
Kobe Bryant	2002-2003 West Starter
Yao Ming	2002-2003 West Starter
Steve Francis	2002-2003 West Starter
Paul Pierce	2003-2004 East Reserve
Jason Kidd	2003-2004 East Reserve
Baron Davis	2003-2004 East Reserve
Metta World Peace	2003-2004 East Reserve
Michael Redd	2003-2004 East Reserve
Kenyon Martin	2003-2004 East Reserve
Jamaal Magloire	2003-2004 East Reserve
Jermaine O'Neal	2003-2004 East Starter
Ben Wallace	2003-2004 East Starter
Allen Iverson	2003-2004 East Starter
Tracy McGrady	2003-2004 East Starter
Vince Carter	2003-2004 East Starter
Sam Cassell	2003-2004 West Reserve
Brad Miller	2003-2004 West Reserve
Ray Allen	2003-2004 West Reserve
Peja Stojakovic	2003-2004 West Reserve
Dirk Nowitzki	2003-2004 West Reserve
Andrei Kirilenko	2003-2004 West Reserve
Shaquille O'Neal	2003-2004 West Reserve
Tim Duncan	2003-2004 West Starter
Kevin Garnett	2003-2004 West Starter
Yao Ming	2003-2004 West Starter
Steve Francis	2003-2004 West Starter
Kobe Bryant	2003-2004 West Starter
Antawn Jamison	2004-2005 East Reserve
Paul Pierce	2004-2005 East Reserve
Jermaine O'Neal	2004-2005 East Reserve
Zydrunas Ilgauskas	2004-2005 East Reserve
Dwyane Wade	2004-2005 East Reserve
Gilbert Arenas	2004-2005 East Reserve
Ben Wallace	2004-2005 East Reserve
Allen Iverson	2004-2005 East Starter
LeBron James	2004-2005 East Starter
Vince Carter	2004-2005 East Starter
Shaquille O'Neal	2004-2005 East Starter
Grant Hill	2004-2005 East Starter
Manu Ginobili	2004-2005 West Reserve
Shawn Marion	2004-2005 West Reserve
Amar'e Stoudemire	2004-2005 West Reserve
Rashard Lewis	2004-2005 West Reserve
Dirk Nowitzki	2004-2005 West Reserve
Steve Nash	2004-2005 West Reserve
Ray Allen	2004-2005 West Reserve
Kevin Garnett	2004-2005 West Starter
Tracy McGrady	2004-2005 West Starter
Yao Ming	2004-2005 West Starter
Tim Duncan	2004-2005 West Starter
Kobe Bryant	2004-2005 West Starter
Chris Bosh	2005-2006 East Reserve
Richard Hamilton	2005-2006 East Reserve
Paul Pierce	2005-2006 East Reserve
Gilbert Arenas	2005-2006 East Reserve
Rasheed Wallace	2005-2006 East Reserve
Vince Carter	2005-2006 East Reserve
Chauncey Billups	2005-2006 East Reserve
Ben Wallace	2005-2006 East Reserve
Dwyane Wade	2005-2006 East Starter
Allen Iverson	2005-2006 East Starter
Shaquille O'Neal	2005-2006 East Starter
LeBron James	2005-2006 East Starter
Jermaine O'Neal	2005-2006 East Starter
Dirk Nowitzki	2005-2006 West Reserve
Tony Parker	2005-2006 West Reserve
Shawn Marion	2005-2006 West Reserve
Pau Gasol	2005-2006 West Reserve
Ray Allen	2005-2006 West Reserve
Kevin Garnett	2005-2006 West Reserve
Elton Brand	2005-2006 West Reserve
Kobe Bryant	2005-2006 West Starter
Steve Nash	2005-2006 West Starter
Yao Ming	2005-2006 West Starter
Tim Duncan	2005-2006 West Starter
Tracy McGrady	2005-2006 West Starter
Caron Butler	2006-2007 East Reserve
Chauncey Billups	2006-2007 East Reserve
Joe Johnson	2006-2007 East Reserve
Richard Hamilton	2006-2007 East Reserve
Vince Carter	2006-2007 East Reserve
Jason Kidd	2006-2007 East Reserve
Dwight Howard	2006-2007 East Reserve
Jermaine O'Neal	2006-2007 East Reserve
Dwyane Wade	2006-2007 East Starter
Shaquille O'Neal	2006-2007 East Starter
Chris Bosh	2006-2007 East Starter
LeBron James	2006-2007 East Starter
Gilbert Arenas	2006-2007 East Starter
Mehmet Okur	2006-2007 West Reserve
Dirk Nowitzki	2006-2007 West Reserve
Josh Howard	2006-2007 West Reserve
Carmelo Anthony	2006-2007 West Reserve
Ray Allen	2006-2007 West Reserve
Steve Nash	2006-2007 West Reserve
Amar'e Stoudemire	2006-2007 West Reserve
Tony Parker	2006-2007 West Reserve
Allen Iverson	2006-2007 West Reserve
Shawn Marion	2006-2007 West Reserve
Carlos Boozer	2006-2007 West Reserve
Yao Ming	2006-2007 West Starter
Tim Duncan	2006-2007 West Starter
Kevin Garnett	2006-2007 West Starter
Tracy McGrady	2006-2007 West Starter
Kobe Bryant	2006-2007 West Starter
Chauncey Billups	2007-2008 East Reserve
Ray Allen	2007-2008 East Reserve
Paul Pierce	2007-2008 East Reserve
Joe Johnson	2007-2008 East Reserve
Antawn Jamison	2007-2008 East Reserve
Richard Hamilton	2007-2008 East Reserve
Caron Butler	2007-2008 East Reserve
Chris Bosh	2007-2008 East Reserve
Rasheed Wallace	2007-2008 East Reserve
Jason Kidd	2007-2008 East Starter
Dwyane Wade	2007-2008 East Starter
LeBron James	2007-2008 East Starter
Kevin Garnett	2007-2008 East Starter
Dwight Howard	2007-2008 East Starter
Dirk Nowitzki	2007-2008 West Reserve
Carlos Boozer	2007-2008 West Reserve
David West	2007-2008 West Reserve
Amar'e Stoudemire	2007-2008 West Reserve
Brandon Roy	2007-2008 West Reserve
Steve Nash	2007-2008 West Reserve
Chris Paul	2007-2008 West Reserve
Allen Iverson	2007-2008 West Starter
Yao Ming	2007-2008 West Starter
Tim Duncan	2007-2008 West Starter
Carmelo Anthony	2007-2008 West Starter
Kobe Bryant	2007-2008 West Starter
Ray Allen	2008-2009 East Reserve
Joe Johnson	2008-2009 East Reserve
Mo Williams	2008-2009 East Reserve
Paul Pierce	2008-2009 East Reserve
Jameer Nelson	2008-2009 East Reserve
Rashard Lewis	2008-2009 East Reserve
Devin Harris	2008-2009 East Reserve
Danny Granger	2008-2009 East Reserve
Chris Bosh	2008-2009 East Reserve
Kevin Garnett	2008-2009 East Starter
Dwight Howard	2008-2009 East Starter
Allen Iverson	2008-2009 East Starter
LeBron James	2008-2009 East Starter
Dwyane Wade	2008-2009 East Starter
Chauncey Billups	2008-2009 West Reserve
David West	2008-2009 West Reserve
Brandon Roy	2008-2009 West Reserve
Tony Parker	2008-2009 West Reserve
Shaquille O'Neal	2008-2009 West Reserve
Dirk Nowitzki	2008-2009 West Reserve
Pau Gasol	2008-2009 West Reserve
Yao Ming	2008-2009 West Starter
Chris Paul	2008-2009 West Starter
Tim Duncan	2008-2009 West Starter
Kobe Bryant	2008-2009 West Starter
Amar'e Stoudemire	2008-2009 West Starter
Al Horford	2009-2010 East Reserve
Derrick Rose	2009-2010 East Reserve
Rajon Rondo	2009-2010 East Reserve
